宗教團體名稱,主管機關,主祀神祇,縣市,行政區,村里,地址,教　別,完整地址,經度,緯度
十甲園土地公廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,99,宜蘭縣冬山鄉照安路111號旁,道教,宜蘭縣冬山鄉南興村照安路115號,24.62997,121.793574
福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣蘇澳鎮,99,宜蘭縣蘇澳鎮嶺腳路港邊路134-1號旁,道教,宜蘭縣蘇澳鎮嶺腳路,24.613765,121.851687
武營廟,宜蘭縣政府,大樹公,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市西安街7號,道教,宜蘭縣宜蘭市大道里西安街5號,24.757487,121.750371
宜蘭市妙嚴宮,宜蘭縣政府,太乙救苦天尊,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市旋流路24-50號,道教,宜蘭縣宜蘭市凱旋里旋流路24-50號,24.737383,121.764461
玉照天宮,宜蘭縣政府,玉皇上帝,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮光武街141號,道教,宜蘭縣羅東鎮國華里光武街143號,24.678596,121.757548
昊天玉皇宮,宜蘭縣政府,玉皇大帝,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮光榮路438巷46號,道教,宜蘭縣羅東鎮東安里光榮路438巷46號,24.680926,121.778883
新福宮,宜蘭縣政府,神農大帝,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市縣政2街107號,道教,宜蘭縣宜蘭市南津里縣政二街107號,24.726154,121.764717
普濟寺,宜蘭縣政府,普庵祖師,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市聖後街138號,佛教,宜蘭縣宜蘭市中正里聖後街138號,24.758862,121.755225
草湖福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣冬山鄉,99,宜蘭縣冬山鄉進偉路484號旁,道教,宜蘭縣冬山鄉進偉路,24.650884,121.725651
福德廟（樹林里）,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮文林路130號（原竹林段864地號）,道教,宜蘭縣羅東鎮樹林里文林路130號,24.683342,121.761384
竹林福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮樹人路1巷20號（原公正段853地號）,道教,宜蘭縣羅東鎮樹林里樹人路1巷10號,24.682632,121.763569
北成福德宮,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮公正路666之6號,道教,宜蘭縣羅東鎮國華里公正路666-6號,24.68081004,121.7531348
福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮忠義巷92號〈東光段1027號〉,道教,宜蘭縣羅東鎮仁德里忠義巷92號,24.673595,121.766321
東安福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮東安街東安段952地號2-1號,道教,宜蘭縣羅東鎮東安街,24.674339,121.776486
得山福德廟,宜蘭縣政府,福德正神,宜蘭縣,宜蘭縣冬山鄉,99,宜蘭縣冬山鄉梅林287號,道教,宜蘭縣冬山鄉,24.63460129,121.792148
福安宮,宜蘭縣政府,"福德正神,廣澤尊王,古公三王",宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮西安街2號,道教,宜蘭縣羅東鎮西安里西安街2號,24.668402,121.76314
鑑民堂,宜蘭縣政府,關聖帝君,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市進士路40號,道教,宜蘭縣宜蘭市進士里進士路40-100號,24.73527294,121.7448486
彌陀寺,宜蘭縣政府,釋迦牟尼佛,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市環河東路589號,佛教,宜蘭縣宜蘭市環河東路,24.763239,121.759069
紫竹林,宜蘭縣政府,觀世音菩薩,宜蘭縣,宜蘭縣蘇澳鎮,99,宜蘭縣蘇澳鎮南公路11號,佛教,宜蘭縣蘇澳鎮,24.59445996,121.8420715
瑞穗三元宮,花蓮縣政府,三官大帝,花蓮縣,花蓮縣瑞穗鄉,99,花蓮縣瑞穗鄉瑞北寺祥北路一段54號,道教,花蓮縣瑞穗鄉,23.49666202,121.3758228
永天聖道寶禪院,花蓮縣政府,千手千眼觀音,花蓮縣,花蓮縣吉安鄉,99,花蓮縣吉安鄉南海10街142號,道教,花蓮縣吉安鄉仁安村南海十街142號,23.94169669,121.588965
台灣大樂寺,花蓮縣政府,釋迦摩尼佛,花蓮縣,花蓮縣吉安鄉,99,花蓮縣吉安鄉明義7街14巷6號,佛教,花蓮縣吉安鄉太昌村明義七街14巷6號,23.99574475,121.5570725
澤峰宮,金門縣政府,太子爺,金門縣,金門縣金沙鎮,99,金門縣金沙鎮高坑30-1號,道教,金門縣金沙鎮何斗里高坑30號,24.46679187,118.3953491
鎮東宮,金門縣政府,玄天上帝,金門縣,金門縣金寧鄉,99,金門縣金寧鄉北山古寧頭,道教,金門縣金寧鄉,24.45088311,118.3329818
